name,description,unit,metric_type,gauge,sum,histogram,exponential_histogram,summary,metadata,resource,resource_schema_url,instrumentation_scope,metric_schema_url
redis.memory.rss,Number of bytes that Redis allocated as seen by the operating system,By,gauge,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":17838080,""exemplars"":[],""attributes"":{},""flags"":null}",null,null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""host.name"":""docker-desktop"",""os.type"":""linux""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.connections.received,Total number of connections accepted by the server,{connection},sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":3,""exemplars"":[],""attributes"":{},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""os.type"":""linux"",""host.name"":""docker-desktop""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.memory.used,Total number of bytes allocated by Redis using its allocator,By,gauge,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":1269560,""exemplars"":[],""attributes"":{},""flags"":null}",null,null,null,null,{},"{""attributes"":{""host.name"":""docker-desktop"",""os.type"":""linux"",""redis.version"":""7.2.4""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.net.input,The total number of bytes read from the network,By,sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":1053,""exemplars"":[],""attributes"":{},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""host.name"":""docker-desktop"",""os.type"":""linux"",""redis.version"":""7.2.4""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.clients.max_input_buffer,Biggest input buffer among current client connections,By,gauge,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":20480,""exemplars"":[],""attributes"":{},""flags"":null}",null,null,null,null,{},"{""attributes"":{""host.name"":""docker-desktop"",""redis.version"":""7.2.4"",""os.type"":""linux""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.rdb.changes_since_last_save,Number of changes since the last dump,{change},sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":1,""exemplars"":[],""attributes"":{},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":null}",null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""host.name"":""docker-desktop"",""os.type"":""linux""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.replication.backlog_first_byte_offset,The master offset of the replication backlog buffer,By,gauge,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":0,""exemplars"":[],""attributes"":{},""flags"":null}",null,null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""host.name"":""docker-desktop"",""os.type"":""linux""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.slaves.connected,Number of connected replicas,{replica},sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":0,""exemplars"":[],""attributes"":{},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":null}",null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""host.name"":""docker-desktop"",""os.type"":""linux""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.replication.offset,The server's current replication offset,By,gauge,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":0,""exemplars"":[],""attributes"":{},""flags"":null}",null,null,null,null,{},"{""attributes"":{""redis.version"":""7.2.4"",""host.name"":""docker-desktop"",""os.type"":""linux""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
redis.uptime,Number of seconds since Redis server start,s,sum,null,"{""start_time_unix_nano"":""1761344838193042632"",""time_unix_nano"":""1761344850193042632"",""value"":12,""exemplars"":[],""attributes"":{},""flags"":null,""aggregation_temporality"":""CUMULATIVE"",""is_monotonic"":true}",null,null,null,{},"{""attributes"":{""os.type"":""linux"",""host.name"":""docker-desktop"",""redis.version"":""7.2.4""},""dropped_attributes_count"":null}",https://opentelemetry.io/schemas/1.6.1,"{""name"":""github.com/open-telemetry/opentelemetry-collector-contrib/receiver/redisreceiver"",""version"":""0.133.0"",""attributes"":{},""dropped_attributes_count"":null}",null
